,headline,gold_standard,gold_politics,pred_llama70B,pred_qwen30
38,"Murders By U.S. White Supremacists More Than Doubled In 2017, New Report Shows",POLITICS,POLITICS,POLITICS,POLITICS
10,"Pivoting To Hillary, From The Left",POLITICS,POLITICS,POLITICS,POLITICS
18,The Top 10 Most Jeb! Moments Of The 2016 Race,POLITICS,POLITICS,POLITICS,OTHER
92,March Madness: Round of 32 -- Day 1,SPORTS,OTHER,OTHER,OTHER
37,Selene Chin: Ground Yourself With the Right Skills,BUSINESS,OTHER,OTHER,OTHER
28,Punishing Without Evidence: The Trump Administration’s Gratuitous Steps To Roll Back Progress Between The United States And Cuba,POLITICS,POLITICS,POLITICS,POLITICS
16,These Are The 3 Police Officers Killed In The Baton Rouge Attack,CRIME,OTHER,POLITICS,OTHER
11,HUFFPOST HILL - Mistakes On A Plane,POLITICS,POLITICS,OTHER,OTHER
64,Cotton's Water Footprint: How One T-Shirt Makes A Huge Impact On The Environment (VIDEO),ENVIRONMENT,OTHER,OTHER,OTHER
63,"Carmageddon Improved Los Angeles Air Quality During 2011 Freeway Closure, Study Shows",ENVIRONMENT,OTHER,OTHER,OTHER
76,"Men Guess What Beauty Blenders Are, And It's Comedy Gold",STYLE,OTHER,OTHER,OTHER
33,"Donald Trump Met Reporters' Kids, And It Was More Trick Than Treat",POLITICS,POLITICS,POLITICS,POLITICS
56,Watch The 2016 Democratic National Convention Live,POLITICS,POLITICS,POLITICS,POLITICS
40,10 Things Online Reviewers Won't Say: MarketWatch,BUSINESS,OTHER,OTHER,OTHER
0,Gold-Winning Canadian Snowboarder Cops To Error That Wasn't Spotted By Judges,SPORTS,OTHER,OTHER,OTHER
34,How Many Taxpayer Dollars Is An Amazon Warehouse Job Worth?,BUSINESS,OTHER,POLITICS,OTHER
2,Why Air Travel Still Sucks,TECH,OTHER,OTHER,OTHER
74,Process for the Sake of the Process: Another Stupid Business Trick,BUSINESS,OTHER,OTHER,OTHER
83,Will Arnold Schwarzenegger Run For The Senate To Battle Donald Trump?,POLITICS,POLITICS,POLITICS,POLITICS
61,NCAA’s New Sexual Violence Policy Underwhelming At Best,SPORTS,OTHER,OTHER,OTHER
70,"Samuel Little Is The Most Prolific Serial Killer In U.S. History, FBI Says",CRIME,OTHER,OTHER,OTHER
55,Kim Kardashian And Kanye West Are Matching At The Met Gala,STYLE,OTHER,OTHER,OTHER
50,"Trump Left Nearly 4,000 Applicants For Central American Refugee Program Stranded",POLITICS,POLITICS,POLITICS,POLITICS
46,Tyra Banks Seriously Only EVER Wears One Sleeve,STYLE,OTHER,OTHER,OTHER
35,Transit Cop Investigated After Quizzing Passenger On Immigration Status,POLITICS,POLITICS,POLITICS,OTHER
79,Boeing Engineers Union To Vote On Potential Strike Ahead Of 787 Dreamliner Fix,BUSINESS,OTHER,OTHER,OTHER
81,Ryan Lochte Says He'd Be 'The Michael Phelps Of Swimming' If Phelps Wasn't There,SPORTS,OTHER,OTHER,OTHER
23,Please Take Sides: This Is No Time For Silence Or Inaction!,RELIGION,OTHER,POLITICS,POLITICS
87,Dianne Feinstein Wants Hillary Clinton To 'Step Up' And Address Email Controversy,POLITICS,POLITICS,POLITICS,POLITICS
82,On Being an American,POLITICS,POLITICS,POLITICS,OTHER
4,Panthers Owner To Treat Entire Staff To Free Trip To Super Bowl 50,SPORTS,OTHER,OTHER,OTHER
78,"Steven Avery, Subject Of 'Making A Murderer,' Has A Christmas Message For His Supporters",CRIME,OTHER,OTHER,OTHER
93,The 7 Meanest Things Stephen Curry's Warriors Did To The Spurs Monday Night,SPORTS,OTHER,OTHER,OTHER
58,First Oil Could Flow Through The Dakota Access Pipeline Next Week,POLITICS,POLITICS,POLITICS,OTHER
42,Judge Says Injunction Against Clean Water Rule Limited To 13 States,POLITICS,POLITICS,POLITICS,OTHER
30,Are President Trump's Supporters Embarrassed To Tell Pollsters They Like Him?,POLITICS,POLITICS,POLITICS,POLITICS
69,A Guide to Getting the Most of Going to Conferences,BUSINESS,OTHER,OTHER,OTHER
36,"Samsung To Halt Global Sales, Exchanges Of Galaxy Note 7",TECH,OTHER,OTHER,OTHER
71,Online Dating's Surprising Lesson About Race,TECH,OTHER,OTHER,
26,America's Largest City Is Failing Its Young People,BUSINESS,OTHER,POLITICS,POLITICS
95,Kick Start Your Wardrobe With This Season With Four Must-Have Boots,STYLE,OTHER,OTHER,OTHER
41,'Better Late Than Never': Account Reposting Trump Tweets Verbatim Reacts To Twitter Ban,POLITICS,POLITICS,POLITICS,POLITICS
31,Usain Bolt Is Bowing Out As The Greatest Sprinter And The Ultimate Showman,SPORTS,OTHER,OTHER,OTHER
13,"Reflections on Justice After Ferguson, MO:  When Will Youth of Color Receive the Same Due Process as Officer Darren Wilson?",POLITICS,POLITICS,POLITICS,POLITICS
94,Obamacare Repeal Would Knock 10 Percent Of This State Off Health Insurance,POLITICS,POLITICS,POLITICS,POLITICS
90,Your City Could Be The First To Embrace The Future Of Transportation,TECH,OTHER,OTHER,OTHER
14,Chicago Cubs Stars And Bill Murray Make A Real Song And Dance On 'SNL',SPORTS,OTHER,OTHER,OTHER
77,"No Drug Tests For Food Stamp Recipients, Feds Tell Georgia",POLITICS,POLITICS,POLITICS,POLITICS
20,"As Puerto Rico Struggles In Darkness, Tesla Brings Light To Children’s Hospital In San Juan",TECH,OTHER,OTHER,OTHER
67,FBI Investigated Folk Singer Pete Seeger For Years,CRIME,OTHER,POLITICS,POLITICS
65,"Wall Street Doesn’t Believe Elon Musk Can Produce 500,000 Cars By 2018",BUSINESS,OTHER,OTHER,OTHER
66,"Manny Pacquiao On Floyd Mayweather, Jr: 'We're Just Waiting On Him'",SPORTS,OTHER,OTHER,OTHER
85,Barrett Brown vs. the Private Intelligence Business,TECH,OTHER,POLITICS,OTHER
17,Don't Let These 5 Confusing Words Mar Your Image,BUSINESS,OTHER,OTHER,OTHER
96,REPORT: Adrian Peterson Seeking Plea Deal In Child Abuse Case,SPORTS,OTHER,OTHER,OTHER
86,Bill Maher Gives Sarcastic Endorsement Of 'Jeb Can Fix It',POLITICS,POLITICS,POLITICS,POLITICS
32,"Brooke Lynn Domel, Texas Teacher Accused Of Sex With Student, Formally Fired By School Board",CRIME,OTHER,OTHER,POLITICS
3,7 Fashion And Beauty New Year's Resolutions To Add To Your List,STYLE,OTHER,OTHER,OTHER
15,Donald Trump Loved To Cite The Nonpartisan Agency His Aides Are Now Discrediting,POLITICS,POLITICS,POLITICS,POLITICS
99,Why You Should Give Your Kid an iPad for Christmas (It Isn't What You Think),TECH,OTHER,OTHER,OTHER
57,Jury Finds Cinemark Theater Chain Not Liable In 2012 Colorado Movie Massacre,CRIME,OTHER,OTHER,OTHER
19,Here's How To Tell If Hillary Clinton Will Keep Her Promises On Trade,POLITICS,POLITICS,POLITICS,POLITICS
5,Tim Kaine Was Not The Governor of New Jersey,POLITICS,POLITICS,POLITICS,POLITICS
6,Donald Trump's Promise Of 'Insurance For Everybody' Now Comes With Caveats,POLITICS,POLITICS,POLITICS,POLITICS
84,"As Florida Governor, Jeb Bush Provided Special Access To Lobbyists",POLITICS,POLITICS,POLITICS,POLITICS
97,HUFFPOLLSTER: Third Party Candidates Face Substantial Challenges In The General Election,POLITICS,POLITICS,POLITICS,POLITICS
9,U.S. Lawmakers Join Demand For Puerto Rico Governor’s Resignation,POLITICS,POLITICS,POLITICS,POLITICS
68,Mounting Evidence Indicates Ryan Lochte Fabricated Rio Robbery Story,SPORTS,OTHER,OTHER,OTHER
73,Radcliffe Women Have Always Enjoyed 'Hooking Up',STYLE,OTHER,OTHER,OTHER
98,Argentina Back To World Cup Semifinals,SPORTS,OTHER,OTHER,OTHER
59,Every Network Wants In On NFL's Thursday Night Football,SPORTS,OTHER,OTHER,OTHER
53,Another Former Staffer Alleges That John Conyers Groped Her,POLITICS,POLITICS,POLITICS,POLITICS
51,Bill Clinton: I Don't Think I'm Good At Campaigning Anymore 'Because I'm Not Mad At Anybody',POLITICS,POLITICS,POLITICS,POLITICS
80,Celebs Do Rock And Roll Chic On This Week's Best Beauty List,STYLE,OTHER,OTHER,OTHER
88,Prince Philip Leaves Hospital On Christmas Eve,POLITICS,POLITICS,OTHER,OTHER
43,5 Teams Not In Power 5 Conferences That Could Crash The College Football Playoff,SPORTS,OTHER,OTHER,OTHER
45,What Can Your Country Deliver With the Push of a Button?,POLITICS,POLITICS,OTHER,OTHER
54,Ohio Girl's Abortion Doctor Once Targeted In Vicious Kidnapping Threat: Report,POLITICS,POLITICS,POLITICS,OTHER
52,Harry Reid: Joni Ernst May Be Too Extreme Even For GOP,POLITICS,POLITICS,POLITICS,POLITICS
49,Fix the Gas Tax Before Exploring Per-Mile Taxes,POLITICS,POLITICS,POLITICS,POLITICS
